,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,yrs_renovated,sale_month
76,4036801170,10/13/2014,380000.0,4,1.75,1760,7300,1.0,0.0,3,7,880.0,1956,0.0,98008,1680,0.0,10
77,2391600320,4/20/2015,480000.0,3,1.0,1040,5060,1.0,0.0,3,7,0.0,1941,0.0,98116,890,0.0,4
78,6300000287,6/9/2014,410000.0,3,1.0,1410,5060,1.0,0.0,4,7,500.0,1956,0.0,98133,1130,0.0,6
79,1531000030,3/23/2015,720000.0,4,2.5,3450,39683,2.0,0.0,3,10,?,2002,0.0,98010,3350,0.0,3
80,5104520400,12/2/2014,390000.0,3,2.5,2350,5100,2.0,0.0,3,8,0.0,2003,0.0,98038,2350,0.0,12
81,7437100340,12/22/2014,360000.0,4,2.5,1900,5889,2.0,0.0,3,7,0.0,1992,0.0,98038,1870,0.0,12
82,9418400240,10/28/2014,355000.0,2,1.0,2020,6720,1.0,0.0,3,7,1010.0,1948,0.0,98118,1720,0.0,10
83,1523059105,1/28/2015,356000.0,3,1.5,1680,8712,1.0,0.0,3,8,0.0,1964,0.0,98059,1850,0.0,1
84,1133000671,6/2/2014,315000.0,3,1.0,960,6634,1.0,0.0,3,6,0.0,1952,0.0,98125,1570,0.0,6
85,4232902595,11/14/2014,940000.0,3,1.5,2140,3600,2.0,0.0,3,9,240.0,1925,0.0,98119,2020,0.0,11
86,2599001200,11/3/2014,305000.0,5,2.25,2660,8400,1.5,0.0,5,7,0.0,1961,0.0,98092,1590,0.0,11
88,1332700270,5/19/2014,215000.0,2,2.25,1610,2040,2.0,0.0,4,7,0.0,1979,0.0,98056,1950,0.0,5
89,3869900162,9/4/2014,335000.0,2,1.75,1030,1066,2.0,0.0,3,7,265.0,2006,0.0,98136,1030,0.0,9
90,2791500270,5/22/2014,243500.0,4,2.5,1980,7403,2.0,0.0,3,7,0.0,1988,0.0,98023,1980,0.0,5
91,5036300431,3/11/2015,1100000.0,5,2.75,3520,6353,2.0,0.0,4,10,0.0,2001,0.0,98199,2520,0.0,3
92,4168000060,2/26/2015,153000.0,3,1.0,1200,10500,1.0,0.0,3,7,0.0,1962,0.0,98023,1350,0.0,2
93,6021501535,7/25/2014,430000.0,3,1.5,1580,5000,1.0,0.0,3,8,290.0,1939,0.0,98117,1570,0.0,7
94,6021501535,12/23/2014,700000.0,3,1.5,1580,5000,1.0,0.0,3,8,290.0,1939,0.0,98117,1570,0.0,12
95,1483300570,9/8/2014,905000.0,4,2.5,3300,10250,1.0,0.0,3,7,910.0,1946,1991.0,98040,1950,29.0,9
96,3422049190,3/30/2015,247500.0,3,1.75,1960,15681,1.0,0.0,3,7,0.0,1967,0.0,98032,1750,0.0,3
97,1099611230,9/12/2014,199000.0,4,1.5,1160,6400,1.0,0.0,4,7,0.0,1975,0.0,98023,1160,0.0,9
98,722079104,7/11/2014,314000.0,3,1.75,1810,41800,1.0,0.0,5,7,600.0,1980,0.0,98038,1650,0.0,7
99,7338200240,5/16/2014,437500.0,3,2.5,2320,36847,2.0,0.0,3,9,0.0,1992,0.0,98045,2550,0.0,5
100,1952200240,6/11/2014,850830.0,3,2.5,2070,13241,1.5,0.0,5,9,800.0,1910,0.0,98102,2200,0.0,6
101,5200100125,10/27/2014,555000.0,3,2.0,1980,3478,1.5,0.0,4,7,540.0,1929,0.0,98117,1610,0.0,10
102,7214720075,12/12/2014,699950.0,3,2.25,2190,107593,2.0,0.0,4,8,0.0,1983,0.0,98077,2570,0.0,12
103,2450000295,10/7/2014,1090000.0,3,2.5,2920,8113,2.0,0.0,3,8,0.0,1950,2010.0,98004,2370,10.0,10
104,6197800045,9/24/2014,290000.0,3,1.0,1210,33919,1.0,0.0,3,7,0.0,1954,0.0,98058,1640,0.0,9
106,546000875,5/23/2014,460000.0,3,1.0,1670,4005,1.5,0.0,4,7,500.0,1939,0.0,98117,1240,0.0,5
107,3530510041,7/23/2014,188500.0,2,1.75,1240,2493,1.0,0.0,4,8,0.0,1985,0.0,98198,1270,0.0,7
108,1853000400,3/5/2015,680000.0,4,2.5,3140,28037,2.0,0.0,4,10,0.0,1991,0.0,98077,2990,0.0,3
109,3134100116,8/27/2014,470000.0,5,1.75,2030,12342,2.0,0.0,4,7,0.0,1942,0.0,98052,2500,0.0,8
110,9545230140,7/25/2014,597750.0,4,2.5,2310,9624,2.0,0.0,3,8,0.0,1984,0.0,98027,1940,0.0,7
111,3362400511,3/4/2015,570000.0,3,1.75,1260,3328,1.0,0.0,5,6,560.0,1905,0.0,98103,1380,0.0,3
112,2525310310,9/16/2014,272500.0,3,1.75,1540,12600,1.0,0.0,4,7,?,1980,0.0,98038,1540,0.0,9
113,6126500060,11/24/2014,329950.0,3,1.75,2080,5969,1.0,0.0,3,7,1000.0,1971,0.0,98108,2090,0.0,11
114,8961960160,10/28/2014,480000.0,4,2.5,3230,16171,2.0,0.0,3,9,710.0,2001,0.0,98001,2640,0.0,10
115,3626039325,11/21/2014,740500.0,3,3.5,4380,6350,2.0,0.0,3,8,?,1900,0.0,98117,1830,0.0,11
116,3362400431,6/26/2014,518500.0,3,3.5,1590,1102,3.0,0.0,3,8,0.0,2010,0.0,98103,1620,0.0,6
117,4060000240,6/23/2014,205425.0,2,1.0,880,6780,1.0,0.0,4,6,0.0,1945,0.0,98178,1190,0.0,6
119,1695900060,5/11/2015,535000.0,4,1.0,1610,2982,1.5,0.0,4,7,0.0,1925,0.0,98144,1610,0.0,5
120,7278700070,1/2/2015,660000.0,3,2.5,2400,6474,1.0,0.0,3,8,840.0,1964,0.0,98177,2340,0.0,1
121,6675500070,11/19/2014,391500.0,3,2.0,1450,9132,1.0,0.0,3,7,0.0,1987,0.0,98034,1580,0.0,11
122,3626039187,4/6/2015,395000.0,2,1.0,770,6000,1.0,0.0,3,6,0.0,1953,0.0,98117,1710,0.0,4
124,3275860240,6/18/2014,770000.0,3,2.25,2910,10204,2.0,0.0,3,9,0.0,1990,0.0,98052,2700,0.0,6
125,4389200955,3/2/2015,1450000.0,4,2.75,2750,17789,1.5,0.0,3,8,770.0,1914,1992.0,98004,3060,28.0,3
127,8732020310,7/17/2014,260000.0,4,2.25,2160,8811,1.0,0.0,3,8,800.0,1978,0.0,98023,2090,0.0,7
128,2331300505,6/13/2014,822500.0,5,3.5,2320,4960,2.0,0.0,5,7,600.0,1926,0.0,98103,1700,0.0,6
129,7853210060,4/6/2015,430000.0,4,2.5,2070,4310,2.0,0.0,3,7,0.0,2004,0.0,98065,1970,0.0,4
130,3668000070,1/5/2015,212000.0,3,1.75,1060,7875,1.0,0.0,4,7,0.0,1986,0.0,98092,1420,0.0,1
131,9545240070,4/28/2015,660500.0,4,2.25,2010,9603,1.0,0.0,3,8,570.0,1986,0.0,98027,2060,0.0,4
132,1243100136,6/12/2014,784000.0,3,3.5,3950,111078,1.5,0.0,3,9,1490.0,1989,0.0,98052,2480,0.0,6
133,8929000270,5/12/2014,453246.0,3,2.5,2010,2287,2.0,0.0,3,8,620.0,2014,0.0,98029,1690,0.0,5
134,2767602356,1/26/2015,675000.0,4,3.5,2140,2278,3.0,0.0,3,9,0.0,2005,0.0,98107,1540,0.0,1
135,921049315,8/13/2014,199000.0,3,1.75,1320,17390,1.0,0.0,4,7,0.0,1956,0.0,98003,1550,0.0,8
136,3655000070,8/5/2014,220000.0,4,1.75,2020,7840,1.0,0.0,3,7,1010.0,1968,0.0,98003,1750,0.0,8
137,4027700812,5/29/2014,452000.0,4,2.25,2590,10002,1.0,0.0,4,8,1250.0,1968,0.0,98028,1550,0.0,5
138,3992700335,7/7/2014,382500.0,2,1.0,1190,4440,1.0,0.0,3,6,0.0,1981,0.0,98125,1060,0.0,7
139,2767603505,5/7/2014,519950.0,3,2.25,1170,1249,3.0,0.0,3,8,0.0,2014,0.0,98107,1350,0.0,5
140,4232901525,6/27/2014,665000.0,2,1.0,1110,3200,1.0,0.0,3,7,0.0,1925,0.0,98119,1170,0.0,6
141,1777500060,7/8/2014,527700.0,5,2.5,2820,9375,1.0,0.0,4,8,1270.0,1968,0.0,98006,2820,0.0,7
142,1432900240,5/8/2015,205000.0,3,1.0,1610,8579,1.0,0.0,4,7,600.0,1962,0.0,98058,1610,0.0,5
143,6140100875,4/15/2015,420000.0,3,1.0,1060,8097,1.0,0.0,4,7,120.0,1923,0.0,98133,1560,0.0,4
144,6071600370,2/27/2015,500000.0,4,2.25,2030,8517,1.0,0.0,4,8,650.0,1961,0.0,98006,2230,0.0,2
145,1526069017,12/3/2014,921500.0,4,2.5,3670,315374,2.0,0.0,4,9,0.0,1994,0.0,98077,2840,0.0,12
146,809001525,6/25/2014,890000.0,4,1.0,2550,4000,2.0,0.0,3,8,180.0,1905,0.0,98109,2200,0.0,6
147,3224079105,8/6/2014,430000.0,2,2.5,2420,60984,2.0,0.0,3,7,0.0,2007,0.0,98027,1940,0.0,8
148,8075400570,10/30/2014,258000.0,5,2.0,2260,12500,1.0,0.0,4,8,1130.0,1960,0.0,98032,1360,0.0,10
149,1994200024,11/4/2014,511000.0,3,1.0,1430,3455,1.0,0.0,3,7,450.0,1947,0.0,98103,1450,0.0,11
150,3362900810,8/20/2014,532170.0,3,2.0,1360,3090,2.0,0.0,3,8,0.0,1990,0.0,98103,1500,0.0,8
151,1324300398,4/9/2015,560000.0,3,1.0,1110,5000,1.5,0.0,3,7,0.0,1947,0.0,98107,1420,0.0,4
153,7855801670,4/1/2015,2250000.0,4,3.25,5180,19850,2.0,0.0,3,12,1640.0,2006,0.0,98006,3160,0.0,4
154,7920100045,5/16/2014,350000.0,1,1.0,700,5100,1.0,0.0,3,7,0.0,1942,0.0,98115,1010,0.0,5
155,8960000030,7/28/2014,215000.0,3,1.0,1180,7669,1.0,0.0,4,7,0.0,1967,0.0,98058,1190,0.0,7
156,6388930390,11/20/2014,650000.0,5,3.5,3960,25245,2.0,0.0,3,9,1460.0,1996,0.0,98056,2640,0.0,11
157,8731900200,8/7/2014,320000.0,4,2.75,2640,7500,1.0,0.0,3,8,1020.0,1967,0.0,98023,1980,0.0,8
158,8029200135,11/13/2014,247000.0,3,2.0,1270,7198,1.5,0.0,3,7,0.0,1916,2013.0,98022,1160,7.0,11
159,1081200350,10/3/2014,320000.0,4,1.75,1760,11180,1.0,0.0,4,8,0.0,1968,0.0,98059,1730,0.0,10
160,84000105,5/7/2014,255000.0,5,2.25,2060,8632,1.0,0.0,3,7,1030.0,1962,0.0,98146,1010,0.0,5
161,3756500060,3/9/2015,438000.0,3,1.75,1780,9660,1.0,0.0,3,7,0.0,1962,0.0,98034,1200,0.0,3
162,7215720160,3/4/2015,900000.0,3,2.5,3400,16603,2.0,0.0,3,10,0.0,2000,0.0,98075,3400,0.0,3
163,3574800520,6/20/2014,441000.0,3,2.75,1910,7280,1.0,0.0,3,7,750.0,1979,0.0,98034,1710,0.0,6
164,2617300160,8/12/2014,420000.0,3,2.0,2020,38332,1.0,0.0,4,7,1010.0,1975,0.0,98027,2110,0.0,8
165,2558660270,12/8/2014,370000.0,3,1.75,1580,7000,1.0,0.0,3,7,400.0,1976,0.0,98034,1640,0.0,12
166,2009000370,2/19/2015,269950.0,2,1.75,1340,7250,1.0,0.0,5,5,640.0,1949,0.0,98198,1830,0.0,2
167,1836980160,3/24/2015,807100.0,4,2.5,2680,4499,2.0,0.0,3,9,0.0,1999,0.0,98006,2920,0.0,3
168,3261020370,6/5/2014,653000.0,3,2.5,2680,9750,1.0,0.0,4,8,1070.0,1979,0.0,98034,2480,0.0,6
170,4330600435,3/16/2015,284000.0,3,1.75,1560,21000,1.0,0.0,3,7,0.0,1954,0.0,98166,1070,0.0,3
171,9542800700,1/2/2015,272000.0,3,1.75,2160,7140,1.0,0.0,4,7,490.0,1978,0.0,98023,1930,0.0,1
173,1762600070,1/16/2015,917500.0,4,2.5,3880,35003,2.0,0.0,3,10,1310.0,1984,0.0,98033,3740,0.0,1
174,1687900520,9/29/2014,673000.0,4,2.25,2590,8190,2.0,0.0,4,8,0.0,1980,0.0,98006,2260,0.0,9
175,7234600798,2/10/2015,425000.0,3,2.5,1120,1100,2.0,0.0,3,8,300.0,2008,0.0,98122,1590,0.0,2
176,3881900445,7/9/2014,399950.0,5,2.75,1970,5400,1.0,0.0,3,7,650.0,1986,0.0,98144,1280,0.0,7
177,2254502445,5/30/2014,385000.0,3,1.0,1220,4800,1.0,0.0,3,6,0.0,1901,0.0,98122,1200,0.0,5
178,5437810320,11/17/2014,269950.0,3,1.5,1950,7560,1.0,0.0,4,7,630.0,1975,0.0,98022,1950,0.0,11
180,3830630310,7/25/2014,260000.0,3,2.5,1670,5797,2.0,0.0,3,7,0.0,1988,0.0,98030,1670,0.0,7
181,8123100045,4/14/2015,470000.0,4,3.0,2380,5125,1.5,0.0,4,7,700.0,1925,0.0,98126,1410,0.0,4
183,6661200320,7/23/2014,163500.0,2,1.5,1050,3419,2.0,0.0,3,7,0.0,1996,0.0,98038,1050,0.0,7
184,11510310,9/5/2014,835000.0,4,2.75,3130,13412,2.0,0.0,3,9,990.0,1993,0.0,98052,2260,0.0,9
185,825059270,11/21/2014,1100000.0,5,3.0,4090,12850,1.0,0.0,4,10,2000.0,1986,0.0,98033,2540,0.0,11
186,8731951370,4/15/2015,269000.0,4,1.75,1490,10000,1.0,0.0,4,8,390.0,1969,0.0,98023,2190,0.0,4
187,1954440060,5/5/2014,560000.0,3,2.5,1900,8744,2.0,0.0,3,8,0.0,1987,0.0,98074,2030,0.0,5
189,1115810060,12/5/2014,585188.0,3,2.25,2230,10026,1.0,0.0,3,8,800.0,1975,0.0,98052,2230,0.0,12
190,9477200200,8/18/2014,305000.0,3,1.75,1650,9480,1.0,0.0,3,7,430.0,1977,0.0,98034,1540,0.0,8
191,1432600560,11/5/2014,166950.0,3,1.0,1190,8820,1.0,0.0,3,6,0.0,1959,0.0,98058,1230,0.0,11
192,2287000060,9/12/2014,799000.0,3,2.5,2140,9897,1.0,0.0,4,8,0.0,1959,0.0,98040,2680,0.0,9
193,3663500060,6/25/2014,400000.0,3,2.5,2180,7508,1.0,0.0,4,7,760.0,1962,0.0,98133,1900,0.0,6
194,3996900125,12/1/2014,230000.0,3,1.0,1060,10228,1.0,0.0,3,7,0.0,1948,0.0,98155,1570,0.0,12
195,7796450200,5/15/2014,256883.0,3,2.5,1690,5025,2.0,0.0,3,8,0.0,2003,0.0,98023,2550,0.0,5
196,7549802535,11/11/2014,423000.0,4,2.0,1970,6480,1.5,0.0,5,7,840.0,1920,0.0,98108,1500,0.0,11
198,2824079053,1/13/2015,440000.0,3,2.5,1910,66211,2.0,0.0,3,7,0.0,1997,0.0,98024,2330,0.0,1
199,1222069094,10/14/2014,385000.0,3,1.75,1350,155073,1.0,0.0,4,7,0.0,1969,0.0,98038,1560,0.0,10
201,2222059065,11/12/2014,297000.0,3,2.5,1940,14952,2.0,0.0,3,8,0.0,1994,0.0,98042,2030,0.0,11
202,7551300060,7/16/2014,470000.0,3,1.0,1010,5000,1.0,0.0,3,7,0.0,1952,0.0,98107,1680,0.0,7
203,100600550,8/4/2014,226500.0,3,1.5,1300,7370,1.0,0.0,4,7,400.0,1976,0.0,98023,1430,0.0,8
204,3211100860,3/3/2015,274250.0,3,1.0,910,8450,1.0,0.0,4,6,0.0,1962,0.0,98059,1400,0.0,3
205,3456000310,8/4/2014,840000.0,4,1.75,2480,11010,1.0,0.0,4,9,850.0,1966,0.0,98040,2770,0.0,8
206,9526600140,9/19/2014,677900.0,3,2.5,2440,4587,2.0,0.0,3,8,0.0,2010,0.0,98052,2750,0.0,9
207,7465900060,2/5/2015,425000.0,3,1.0,1010,5864,1.0,0.0,3,7,0.0,1915,0.0,98116,1290,0.0,2
208,1222000055,11/23/2014,180250.0,2,0.75,900,9600,1.0,0.0,3,6,0.0,1941,0.0,98166,1250,0.0,11
209,6300000550,7/17/2014,464000.0,6,3.0,2300,3404,2.0,0.0,3,7,700.0,1920,1994.0,98133,1560,26.0,7
211,1025049114,7/17/2014,625504.0,3,2.25,1270,1566,2.0,0.0,3,8,210.0,2014,0.0,98105,1160,0.0,7
212,8677300550,5/15/2014,592500.0,4,2.5,2240,12032,1.0,0.0,3,9,0.0,1983,0.0,98074,2520,0.0,5
213,4014400292,1/14/2015,465000.0,3,2.5,2714,17936,2.0,0.0,3,9,0.0,2005,0.0,98001,2590,0.0,1
214,1102000196,5/27/2014,477000.0,4,2.75,1720,6270,2.0,0.0,3,8,0.0,1978,0.0,98118,2130,0.0,5
215,257000138,1/15/2015,280000.0,2,1.0,850,16400,1.0,0.0,3,6,0.0,1923,0.0,98168,1100,0.0,1
217,1909600046,7/3/2014,445838.0,3,2.5,2250,5692,2.0,0.0,3,8,?,2000,0.0,98146,1320,0.0,7
218,1250202145,8/28/2014,1070000.0,2,2.25,3900,14864,1.0,0.0,3,8,1950.0,1947,0.0,98144,2580,0.0,8
219,7611200125,10/23/2014,467000.0,2,1.5,1320,10800,1.0,0.0,4,8,0.0,1947,0.0,98177,2120,0.0,10
220,5611500140,8/22/2014,686000.0,4,2.5,2760,6440,2.0,0.0,3,10,0.0,1999,0.0,98075,3070,0.0,8
221,7138000260,6/5/2014,279950.0,3,2.0,1750,9750,1.0,0.0,3,7,400.0,1961,0.0,98198,1900,0.0,6
222,626059335,9/4/2014,527000.0,4,2.25,2330,19436,2.0,0.0,3,8,0.0,1987,0.0,98011,1910,0.0,9
223,1922059282,9/18/2014,325000.0,3,2.25,2220,16020,1.0,0.0,4,8,440.0,1966,0.0,98030,2080,0.0,9
224,705700390,9/3/2014,328000.0,3,2.25,2020,8379,2.0,0.0,3,7,0.0,1994,0.0,98038,2020,0.0,9
225,7454001200,6/4/2014,390000.0,3,2.25,1250,7500,1.0,0.0,5,7,0.0,1942,0.0,98146,1280,0.0,6
228,722059070,1/15/2015,235000.0,3,1.0,1430,15246,1.0,0.0,4,7,450.0,1961,0.0,98031,1960,0.0,1
229,7202340400,3/3/2015,516500.0,3,2.5,1480,4729,2.0,0.0,3,7,0.0,2004,0.0,98053,2250,0.0,3
230,8096000060,4/13/2015,655000.0,2,1.75,1450,15798,2.0,1.0,3,7,220.0,1915,1978.0,98166,2030,42.0,4
231,2424000060,6/16/2014,500000.0,4,2.75,2280,15347,1.0,0.0,5,7,0.0,1960,0.0,98059,2280,0.0,6
232,9264902050,11/21/2014,315000.0,6,2.75,2940,7350,1.0,0.0,3,8,1160.0,1978,0.0,98023,2120,0.0,11
233,943100260,11/20/2014,213000.0,2,1.0,1000,10200,1.0,0.0,3,6,0.0,1961,0.0,98024,1150,0.0,11
